periodID	dayID	timestamp	time	event	actor	subject	note	where	keyword
1	1	1653308821	00:00:00	Period begins	NA	NA	NA	NA	NA
1	1	1653308838.969	00:17:00	Talking to class: ON-task	teacher	class	Watch video	NA	NA
1	1	1653308873.82	00:52:00	Monitoring class: Moving	teacher	class	NA	NA	NA
1	1	1653308892.25	01:11:00	Monitoring class: Fixed	teacher	class	NA	NA	NA
1	1	1653308926.222	01:45:00	Talking to student: ON-task	teacher	10	NA	NA	NA
1	1	1653308934.58	01:53:00	Talking to student: ON-task	teacher	16	Just watch	NA	NA
1	1	1653308944.198	02:03:00	Talking to class: ON-task	teacher	class	asking to pay attention to video	NA	NA
1	1	1653308964.761	02:23:00	Talking to class: ON-task	teacher	class	showing diagrams	NA	NA
1	1	1653308988.153	02:47:00	Monitoring class: Fixed	teacher	class	NA	Front of the room	NA
1	1	1653309056.461	03:55:00	Talking to class: ON-task	teacher	class	pre-activity/tutor/giving names	NA	NA
1	1	1653309094.641	04:33:00	Talking to student: ON-task	teacher	20	NA	Front of the room	Study activity
1	1	1653309123.258	05:02:00	Talking to student: ON-task	teacher	18	sign in help	Left	NA
1	1	1653309133.387	05:12:00	Talking to class: ON-task	teacher	class	sign in help	NA	Talking to small group: ON-task
1	1	1653309146.132	05:25:00	Talking to student: ON-task	teacher	19	sign in help	NA	NA
1	1	1653309165.126	05:44:00	Talking to student: ON-task	teacher	18	sign in help	Middle	NA
1	1	1653309190.99	06:09:00	Talking to student: ON-task	teacher	4	NA	Front of the room	NA
1	1	1653309208.511	06:27:00	Raising hand	6	teacher	NA	NA	NA
1	1	1653309212.589	06:31:00	Talking to student: ON-task	teacher	3	bending down helping 	Back of the room	NA
1	1	1653309236.285	06:55:00	Monitoring class: Moving	teacher	class	NA	NA	NA
1	1	1653309241.6	07:00:00	Monitoring student	teacher	23	NA	NA	NA
1	1	1653309299.617	07:58:00	Talking to student: ON-task	teacher	20	NA	NA	How tutor works
1	1	1653309316.06	08:15:00	Talking to student: ON-task	teacher	18	click on the 	Right	Math content
1	1	1653309351.19	08:50:00	Talking to student: ON-task	teacher	20	good job	NA	How tutor works
1	1	1653309362.839	09:01:00	Talking to class: ON-task	teacher	class	there is a button that says diagrams	NA	NA
1	1	1653309382.733	09:21:00	Talking to student: ON-task	teacher	18	*tutor help, try typing again - may be no spaces, hit enter	Right	How tutor works
1	1	1653309420.165	09:59:00	Talking to class: ON-task	teacher	class	you have to click enter	Front of the room	How tutor works
1	1	1653309460.801	10:39:00	Talking to student: ON-task	teacher	10	are you doing ok	NA	NA
1	1	1653309470.275	10:49:00	Talking to student: ON-task	teacher	18	great job. thats it. your done. if you want diagram 	NA	How tutor works
1	1	1653309494.45	11:13:00	Talking to student: ON-task	teacher	6	would you subtract 3 on both sides. subtract 10. would that be a good thing to do. hmm. see. here is the original equation. add 10 to both sides.	Right	Math content
1	1	1653309553.629	12:12:00	Talking to student: ON-task	teacher	10	so.. when you get to the end. you need to write. 5+x. -9.	NA	How tutor works
1	1	1653309589.619	12:48:00	Talking to student: ON-task	teacher	18	your answer is what is left	NA	How tutor works
1	1	1653309606.903	13:05:00	Inactive	teacher	NA	got a call	NA	NA
1	1	1653309638.244	13:37:00	Inactive	teacher	NA	NA	At Desk;Front of the room	NA
1	1	1653309650.303	13:49:00	Raising hand	5	teacher	NA	NA	NA
1	1	1653309654.191	13:53:00	Raising hand	20	teacher	NA	NA	NA
1	1	1653309657.772	13:56:00	Raising hand	27	teacher	NA	NA	NA
1	1	1653309688.1	14:27:00	Talking to student: ON-task	teacher	27	did you just get in. Anon1 you are orange	NA	NA
1	1	1653309705.432	14:44:00	Monitoring class: Moving	teacher	class	NA	NA	NA
1	1	1653309707.601	14:46:00	Monitoring class: Fixed	teacher	class	NA	NA	NA
1	1	1653309709.806	14:48:00	Talking to student: ON-task	teacher	25	did you login? did you do that? greenbear	NA	NA
1	1	1653309728.819	15:07:00	Monitoring student	teacher	24	there you go	NA	NA
1	1	1653309740.495	15:19:00	Talking to student: OFF-task	teacher	21	giving charger	NA	NA
1	1	1653309752.623	15:31:00	Raising hand	23	teacher	NA	NA	NA
1	1	1653309756.222	15:35:00	Raising hand	18	teacher	NA	NA	NA
1	1	1653309761.824	15:40:00	Talking to student: ON-task	teacher	23	ok.. i would just write x =. no. no. how did you get to do. use slash? oh! 3 xs right? so, x = 5	NA	How tutor works
1	1	1653309830.635	16:49:00	Talking to class: ON-task	teacher	class	if you want to division, use slash	NA	Raising hand
1	1	1653309847.118	17:06:00	Raising hand	18	teacher	NA	NA	NA
1	1	1653309873.786	17:32:00	Monitoring class: Moving	teacher	class	NA	NA	NA
1	1	1653309881.718	17:40:00	Talking to class: ON-task	teacher	class	if you are stuck, use diagrams	NA	Talking to student: ON-task
1	1	1653309930.967	18:29:00	Raising hand	19	teacher	NA	NA	NA
1	1	1653309935.747	18:34:00	Monitoring student	teacher	20	NA	NA	NA
1	1	1653309951.656	18:50:00	Talking to student: ON-task	teacher	20	x = 2, thats it	NA	Math content
1	1	1653309969.273	19:08:00	Talking to student: ON-task	teacher	19	1s over here, 1s over here, 3x	NA	NA
1	1	1653309987.115	19:26:00	Monitoring student	teacher	27	how are you doing back here?	NA	NA
1	1	1653310000.436	19:39:00	Questioning: On-Task	18	teacher	NA	NA	NA
1	1	1653310007.192	19:46:00	Raising hand	18	teacher	NA	NA	NA
